county_name,county_num,dem_margin,dem_num,fips_code,rep_num,state,turnout,vap,year,state_electoral_votes
Autauga County,23973,-0.4595,6363,01001,17379,AL,0.5865,40874,2012,9
Baldwin County,85491,-0.5567,18424,01003,66016,AL,0.5799,147416,2012,9
Barbour County,11517,0.0314,5912,01005,5550,AL,0.5398,21334,2012,9
Bibb County,8420,-0.4667,2202,01007,6132,AL,0.4731,17796,2012,9
Blount County,24060,-0.7393,2970,01009,20757,AL,0.5484,43876,2012,9
Bullock County,5322,0.528,4061,01011,1251,AL,0.6315,8427,2012,9
Butler County,9502,-0.075,4374,01013,5087,AL,0.6047,15714,2012,9
Calhoun County,46364,-0.3185,15511,01015,30278,AL,0.5097,90966,2012,9
Chambers County,14629,-0.0516,6871,01017,7626,AL,0.5482,26685,2012,9
Cherokee County,9792,-0.5488,2132,01019,7506,AL,0.476,20571,2012,9
Chilton County,17485,-0.6025,3397,01021,13932,AL,0.5298,33002,2012,9
Choctaw County,7976,-0.0459,3786,01023,4152,AL,0.7491,10648,2012,9
Clarke County,13860,-0.082,6334,01025,7470,AL,0.7183,19295,2012,9
Clay County,6679,-0.4552,1777,01027,4817,AL,0.6366,10492,2012,9
Cleburne County,6319,-0.6806,971,01029,5272,AL,0.5511,11466,2012,9
Coffee County,19821,-0.4914,4925,01031,14666,AL,0.5085,38981,2012,9
Colbert County,23444,-0.2035,9166,01033,13936,AL,0.5507,42571,2012,9
Conecuh County,7025,0.0165,3555,01035,3439,AL,0.6946,10114,2012,9
Coosa County,5282,-0.1624,2191,01037,3049,AL,0.5826,9066,2012,9
Covington County,15439,-0.5826,3158,01039,12153,AL,0.5246,29432,2012,9
Crenshaw County,6424,-0.3551,2050,01041,4331,AL,0.5993,10719,2012,9
Cullman County,34555,-0.693,5052,01043,28999,AL,0.5559,62156,2012,9
Dale County,18601,-0.4205,5286,01045,13108,AL,0.4876,38151,2012,9
Dallas County,20964,0.3971,14612,01047,6288,AL,0.6601,31761,2012,9
DeKalb County,23950,-0.5466,5239,01049,18331,AL,0.4511,53093,2012,9
Elmore County,35546,-0.4867,8954,01051,26253,AL,0.5754,61772,2012,9
Escambia County,14894,-0.255,5489,01053,9287,AL,0.5043,29533,2012,9
Etowah County,42624,-0.383,12803,01055,29130,AL,0.5277,80777,2012,9
Fayette County,7958,-0.5324,1817,01057,6054,AL,0.5992,13280,2012,9
Franklin County,10881,-0.404,3171,01059,7567,AL,0.4555,23889,2012,9
Geneva County,11331,-0.6298,2039,01061,9175,AL,0.5391,21020,2012,9
Greene County,5343,0.6957,4521,01063,804,AL,0.7885,6776,2012,9
Hale County,8647,0.2545,5411,01065,3210,AL,0.7375,11724,2012,9
Henry County,8766,-0.2903,3083,01067,5628,AL,0.6501,13484,2012,9
Houston County,41984,-0.4026,12367,01069,29270,AL,0.5353,78434,2012,9
Jackson County,20632,-0.4177,5822,01071,14439,AL,0.4993,41318,2012,9
Jefferson County,304523,0.0597,159876,01073,141683,AL,0.6029,505125,2012,9
Lamar County,7176,-0.5311,1646,01075,5457,AL,0.6446,11132,2012,9
Lauderdale County,37032,-0.3078,12511,01077,23911,AL,0.5051,73320,2012,9
Lawrence County,14148,-0.2689,5069,01079,8874,AL,0.5396,26218,2012,9
Lee County,54496,-0.1984,21381,01081,32194,AL,0.4714,115603,2012,9
Limestone County,35540,-0.4352,9829,01083,25295,AL,0.5334,66624,2012,9
Lowndes County,7523,0.5305,5747,01085,1756,AL,0.9062,8302,2012,9
Macon County,10396,0.742,9045,01087,1331,AL,0.6278,16559,2012,9
Madison County,155428,-0.1857,62015,01089,90884,AL,0.5888,263969,2012,9
Marengo County,11543,0.072,6167,01091,5336,AL,0.7382,15637,2012,9
Marion County,12129,-0.6141,2249,01093,9697,AL,0.5063,23955,2012,9
Marshall County,32644,-0.5994,6299,01095,25867,AL,0.4607,70851,2012,9
Mobile County,175140,-0.0921,78760,01097,94893,AL,0.5596,312973,2012,9
Monroe County,10717,-0.0772,4914,01099,5741,AL,0.6256,17130,2012,9
Montgomery County,102067,0.2425,63085,01101,38332,AL,0.5892,173221,2012,9
Morgan County,49459,-0.4438,13439,01103,35391,AL,0.5385,91846,2012,9
Perry County,6101,0.5019,4568,01105,1506,AL,0.785,7772,2012,9
Pickens County,9621,-0.0695,4455,01107,5124,AL,0.6418,14991,2012,9
Pike County,14123,-0.1365,6035,01109,7963,AL,0.532,26548,2012,9
Randolph County,10421,-0.3979,3078,01111,7224,AL,0.5959,17487,2012,9
Russell County,18910,0.1175,10500,01113,8278,AL,0.4381,43161,2012,9
St. Clair County,35235,-0.6593,5801,01115,29031,AL,0.5404,65198,2012,9
Shelby County,92742,-0.5541,20051,01117,71436,AL,0.6148,150842,2012,9
Sumter County,7030,0.5455,5421,01119,1586,AL,0.6581,10683,2012,9
Talladega County,33416,-0.1598,13905,01121,19246,AL,0.5275,63347,2012,9
Tallapoosa County,18851,-0.3224,6319,01123,12396,AL,0.5857,32186,2012,9
Tuscaloosa County,78772,-0.1739,32048,01125,45748,AL,0.5029,156650,2012,9
Walker County,28585,-0.528,6557,01127,21651,AL,0.5567,51347,2012,9
Washington County,8787,-0.3169,2976,01129,5761,AL,0.6738,13041,2012,9
Wilcox County,6555,0.4865,4868,01131,1679,AL,0.7746,8462,2012,9
Winston County,9728,-0.7222,1286,01133,8312,AL,0.5106,19053,2012,9
Apache County,25917,0.3433,17147,04001,8250,AZ,0.5095,50871,2012,11
Cochise County,49201,-0.2226,18546,04003,29497,AZ,0.4804,102423,2012,11
Coconino County,51962,0.1547,29257,04005,21220,AZ,0.4933,105345,2012,11
Gila County,21595,-0.2666,7697,04007,13455,AZ,0.5139,42024,2012,11
Graham County,11905,-0.3752,3609,04009,8076,AZ,0.4482,26561,2012,11
Greenlee County,2986,-0.0944,1310,04011,1592,AZ,0.48,6221,2012,11
La Paz County,5735,-0.3198,1880,04012,3714,AZ,0.341,16820,2012,11
Maricopa County,1380959,-0.1069,602288,04013,749885,AZ,0.4703,2936053,2012,11
Mohave County,70328,-0.4214,19533,04015,49168,AZ,0.4304,163406,2012,11
Navajo County,37465,-0.0784,16945,04017,19884,AZ,0.4899,76470,2012,11
Pima County,383173,0.0691,201251,04019,174779,AZ,0.4967,771485,2012,11
Pinal County,108682,-0.1635,44306,04021,62079,AZ,0.3799,286087,2012,11
Santa Cruz County,13911,0.3775,9486,04023,4235,AZ,0.4141,33597,2012,11
Yavapai County,100667,-0.3035,33918,04025,64468,AZ,0.5788,173930,2012,11
Yuma County,42073,-0.1258,18059,04027,23352,AZ,0.2843,147965,2012,11
Arkansas County,6494,-0.2221,2455,05001,3897,AR,0.4468,14536,2012,6
Ashley County,7921,-0.2535,2859,05003,4867,AR,0.4837,16377,2012,6
Baxter County,19339,-0.4404,5172,05005,13688,AR,0.5738,33706,2012,6
Benton County,79257,-0.4039,22636,05007,54646,AR,0.4684,169198,2012,6
Boone County,15391,-0.48,3772,05009,11159,AR,0.5348,28780,2012,6
Bradley County,3652,-0.1876,1449,05011,2134,AR,0.4209,8677,2012,6
Calhoun County,2174,-0.3671,660,05013,1458,AR,0.5022,4329,2012,6
Carroll County,10183,-0.2385,3696,05015,6125,AR,0.4759,21398,2012,6
Chicot County,4361,0.2245,2649,05017,1670,AR,0.4952,8807,2012,6
Clark County,8409,-0.0633,3811,05019,4343,AR,0.4586,18338,2012,6
Clay County,5110,-0.291,1738,05021,3225,AR,0.4172,12247,2012,6
Cleburne County,11647,-0.5214,2620,05023,8693,AR,0.5626,20702,2012,6
Cleveland County,3266,-0.4495,845,05025,2313,AR,0.4993,6541,2012,6
Columbia County,9455,-0.2362,3557,05027,5790,AR,0.4961,19058,2012,6
Conway County,7730,-0.1952,3005,05029,4514,AR,0.4758,16247,2012,6
Craighead County,31700,-0.3099,10527,05031,20350,AR,0.4218,75154,2012,6
Crawford County,20591,-0.4985,4881,05033,15145,AR,0.4472,46048,2012,6
Crittenden County,16716,0.1489,9487,05035,6998,AR,0.4656,35904,2012,6
Cross County,6681,-0.2979,2279,05037,4269,AR,0.5029,13285,2012,6
Dallas County,3084,-0.1064,1337,05039,1665,AR,0.5025,6137,2012,6
Desha County,4420,0.1238,2443,05041,1896,AR,0.4739,9326,2012,6
Drew County,6633,-0.1895,2630,05043,3887,AR,0.4582,14476,2012,6
Faulkner County,41460,-0.316,13621,05045,26722,AR,0.4613,89882,2012,6
Franklin County,6540,-0.4442,1726,05047,4631,AR,0.4803,13617,2012,6
Fulton County,4522,-0.331,1452,05049,2949,AR,0.4642,9742,2012,6
Garland County,40728,-0.2998,13804,05051,26014,AR,0.5312,76670,2012,6
Grant County,6479,-0.5188,1468,05053,4829,AR,0.4717,13735,2012,6
Greene County,13761,-0.3685,4000,05055,9071,AR,0.4258,32316,2012,6
Hempstead County,6921,-0.2624,2468,05057,4284,AR,0.4208,16446,2012,6
Hot Spring County,11260,-0.2901,3830,05059,7097,AR,0.4334,25982,2012,6
Howard County,4462,-0.3185,1471,05061,2892,AR,0.4405,10129,2012,6
Independence County,12397,-0.4394,3281,05063,8728,AR,0.4423,28030,2012,6
Izard County,5278,-0.3886,1524,05065,3575,AR,0.4816,10960,2012,6
Jackson County,5347,-0.1827,2095,05067,3072,AR,0.3825,13979,2012,6
Jefferson County,27383,0.2903,17470,05069,9520,AR,0.4798,57070,2012,6
Johnson County,8098,-0.2797,2799,05071,5064,AR,0.416,19467,2012,6
Lafayette County,2929,-0.1844,1173,05073,1713,AR,0.5015,5841,2012,6
Lawrence County,5540,-0.3155,1788,05075,3536,AR,0.4203,13182,2012,6
Lee County,3424,0.2415,2107,05077,1280,AR,0.4226,8102,2012,6
Lincoln County,3726,-0.2077,1425,05079,2199,AR,0.3222,11566,2012,6
Little River County,5051,-0.3629,1552,05081,3385,AR,0.5114,9876,2012,6
Logan County,7331,-0.4188,2009,05083,5079,AR,0.4348,16859,2012,6
Lonoke County,24114,-0.5082,5625,05085,17880,AR,0.4712,51176,2012,6
Madison County,6568,-0.3295,2099,05087,4263,AR,0.551,11920,2012,6
Marion County,7051,-0.3882,2037,05089,4774,AR,0.5147,13700,2012,6
Miller County,15329,-0.3982,4518,05091,10622,AR,0.4636,33066,2012,6
Mississippi County,13375,-0.0102,6467,05093,6603,AR,0.4044,33074,2012,6
Monroe County,3230,-0.0006,1583,05095,1585,AR,0.527,6129,2012,6
Montgomery County,3404,-0.4257,920,05097,2369,AR,0.4572,7445,2012,6
Nevada County,3384,-0.2015,1314,05099,1996,AR,0.4939,6851,2012,6
Newton County,3661,-0.4138,993,05101,2508,AR,0.5671,6456,2012,6
Ouachita County,10315,-0.0861,4633,05103,5521,AR,0.5278,19543,2012,6
Perry County,3938,-0.354,1187,05105,2581,AR,0.4888,8057,2012,6
Phillips County,7930,0.3284,5202,05107,2598,AR,0.5262,15069,2012,6
Pike County,3788,-0.5269,851,05109,2847,AR,0.4429,8552,2012,6
Poinsett County,7560,-0.3418,2390,05111,4974,AR,0.4094,18467,2012,6
Polk County,7726,-0.5694,1556,05113,5955,AR,0.4932,15665,2012,6
Pope County,20439,-0.4715,5126,05115,14763,AR,0.4233,48282,2012,6
Prairie County,3141,-0.4053,880,05117,2153,AR,0.4701,6681,2012,6
Pulaski County,159381,0.1146,87248,05119,68984,AR,0.5384,296034,2012,6
Randolph County,5956,-0.2779,2046,05121,3701,AR,0.4315,13804,2012,6
Saint Francis County,8362,0.1844,4910,05123,3368,AR,0.3918,21342,2012,6
Saline County,47062,-0.427,12869,05125,32963,AR,0.5546,84865,2012,6
Scott County,3640,-0.4764,897,05127,2631,AR,0.4411,8252,2012,6
Searcy County,3694,-0.5103,814,05129,2699,AR,0.5791,6379,2012,6
Sebastian County,43362,-0.3708,13092,05131,29169,AR,0.453,95732,2012,6
Sevier County,4330,-0.4836,1042,05133,3136,AR,0.3561,12160,2012,6
Sharp County,7283,-0.3884,2092,05135,4921,AR,0.54,13487,2012,6
Stone County,5354,-0.452,1356,05137,3776,AR,0.5371,9969,2012,6
Union County,17177,-0.2622,6196,05139,10699,AR,0.552,31116,2012,6
Van Buren County,6430,-0.3939,1832,05141,4365,AR,0.4698,13686,2012,6
Washington County,70460,-0.1625,28236,05143,39688,AR,0.4458,158057,2012,6
White County,26514,-0.5373,5765,05145,20011,AR,0.4418,60017,2012,6
Woodruff County,2685,0.0421,1340,05147,1227,AR,0.4893,5487,2012,6
Yell County,5974,-0.3883,1722,05149,4042,AR,0.3674,16259,2012,6
Alameda County,596893,0.6056,469684,06001,108182,CA,0.4912,1215255,2012,55
Alpine County,654,0.2339,389,06003,236,CA,0.7423,881,2012,55
Amador County,17693,-0.195,6830,06005,10281,CA,0.565,31316,2012,55
Butte County,91021,-0.0199,42669,06007,44479,CA,0.518,175701,2012,55
Calaveras County,21862,-0.169,8670,06009,12365,CA,0.5998,36451,2012,55
Colusa County,6045,-0.2129,2314,06011,3601,CA,0.3964,15249,2012,55
Contra Costa County,439145,0.3514,290824,06013,136517,CA,0.5358,819630,2012,55
Del Norte County,8770,-0.0938,3791,06015,4614,CA,0.395,22202,2012,55
El Dorado County,88998,-0.1776,35166,06017,50973,CA,0.6293,141419,2012,55
Fresno County,259697,0.0179,129129,06019,124490,CA,0.3872,670690,2012,55
Glenn County,9238,-0.2523,3301,06021,5632,CA,0.4552,20293,2012,55
Humboldt County,57686,0.271,34457,06023,18825,CA,0.5324,108342,2012,55
Imperial County,38565,0.3205,25136,06025,12777,CA,0.3044,126685,2012,55
Inyo County,8036,-0.1142,3422,06027,4340,CA,0.5513,14576,2012,55
Kern County,222189,-0.1671,89495,06029,126618,CA,0.3692,601843,2012,55
Kings County,31418,-0.1493,12979,06031,17671,CA,0.2866,109620,2012,55
Lake County,23391,0.1694,13163,06033,9200,CA,0.4604,50807,2012,55
Lassen County,10725,-0.3956,3053,06035,7296,CA,0.385,27858,2012,55
Los Angeles County,3181067,0.4186,2216903,06037,885333,CA,0.4171,7626796,2012,55
Madera County,39933,-0.1711,16018,06039,22852,CA,0.3655,109261,2012,55
Marin County,134731,0.5123,99896,06041,30880,CA,0.6634,203098,2012,55
Mariposa County,9038,-0.1817,3498,06043,5140,CA,0.6116,14777,2012,55
Mendocino County,35137,0.3852,23193,06045,9658,CA,0.5146,68279,2012,55
Merced County,62222,0.0872,33005,06047,27581,CA,0.3421,181890,2012,55
Modoc County,4019,-0.4145,1111,06049,2777,CA,0.5456,7366,2012,55
Mono County,5181,0.0865,2733,06051,2285,CA,0.4532,11431,2012,55
Monterey County,123518,0.3686,82920,06053,37390,CA,0.394,313513,2012,55
Napa County,56968,0.2869,35870,06055,19526,CA,0.528,107888,2012,55
Nevada County,51676,-0.0063,24663,06057,24986,CA,0.6437,80285,2012,55
Orange County,1122664,-0.0623,512440,06059,582332,CA,0.4758,2359635,2012,55
Placer County,171711,-0.1928,66818,06061,99921,CA,0.6228,275714,2012,55
Plumas County,10080,-0.1682,4026,06063,5721,CA,0.6333,15917,2012,55
Riverside County,663116,0.0165,329063,06065,318127,CA,0.4014,1651824,2012,55
Sacramento County,517582,0.1893,300503,06067,202514,CA,0.4756,1088184,2012,55
San Benito County,19081,0.2061,11276,06069,7343,CA,0.4648,41056,2012,55
San Bernardino County,582930,0.0733,305109,06071,262358,CA,0.3897,1495678,2012,55
San Diego County,1193949,0.0756,626957,06073,536726,CA,0.4858,2457628,2012,55
San Francisco County,361795,0.7038,301723,06075,47076,CA,0.5036,718359,2012,55
San Joaquin County,205364,0.1366,114121,06077,86071,CA,0.4091,501953,2012,55
San Luis Obispo County,125966,0.0102,61258,06079,59967,CA,0.5629,223783,2012,55
San Mateo County,285720,0.4666,206085,06081,72756,CA,0.4939,578540,2012,55
Santa Barbara County,163885,0.1801,94129,06083,64606,CA,0.492,333081,2012,55
Santa Clara County,644277,0.4283,450818,06085,174843,CA,0.4578,1407287,2012,55
Santa Cruz County,120385,0.5545,90805,06087,24047,CA,0.5687,211668,2012,55
Shasta County,76501,-0.2908,25819,06089,48067,CA,0.5487,139416,2012,55
Sierra County,1799,-0.224,653,06091,1056,CA,0.6997,2571,2012,55
Siskiyou County,19993,-0.1516,8046,06093,11077,CA,0.5687,35153,2012,55
Solano County,152840,0.2924,96783,06095,52092,CA,0.4754,321465,2012,55
Sonoma County,216865,0.4572,153942,06097,54784,CA,0.5611,386523,2012,55
