demographic,group,year,dem_frac,rep_frac,electorate_frac,num_nation,dem_margin,turnout
race,Non-Hispanic White,2012,0.43,0.57,0.737,129254383,-0.13999999999999996,0.6409999999999999
race,Non-Hispanic Black,2012,0.97,0.03,0.134,129254383,0.94,0.664
race,Hispanic,2012,0.73,0.27,0.084,129254383,0.45999999999999996,0.48
race,Other,2012,0.61,0.39,0.045,129254383,0.21999999999999997,0.49
race,Non-Hispanic White,2008,0.44,0.56,0.763,131049863,-0.12000000000000005,0.6609999999999999
race,Non-Hispanic Black,2008,1.0,0.0,0.124,131049863,1.0,0.652
race,Hispanic,2008,0.73,0.27,0.07400000000000001,131049863,0.45999999999999996,0.499
race,Other,2008,0.82,0.18,0.039,131049863,0.6399999999999999,0.495
race,Non-Hispanic White,2004,0.42,0.58,0.792,122217180,-0.15999999999999998,0.672
race,Non-Hispanic Black,2004,0.89,0.11,0.11199999999999999,122217180,0.78,0.603
race,Hispanic,2004,0.61,0.39,0.06,122217180,0.21999999999999997,0.47200000000000003
race,Other,2004,0.36,0.64,0.036000000000000004,122217180,-0.28,0.48
race,Non-Hispanic White,2016,0.39383641960096355,0.5380347798864428,0.733,136670626,-0.14419836028547922,0.653
race,Non-Hispanic Black,2016,0.8998606852249953,0.06377197481421665,0.124,136670626,0.8360887104107786,0.593
race,Hispanic,2016,0.6862940419791047,0.23881890628431574,0.092,136670626,0.447475135694789,0.47600000000000003
race,Other,2016,0.573221921462477,0.31470490985613975,0.05,136670626,0.2585170116063372,0.49
gender,male,2004,0.4787005941742413,0.491888411226373,0.5198635582441038,122217180,-0.013187817052131678,0.621
gender,female,2004,0.44462282833076777,0.5449117892265467,0.48013644175589615,122217180,-0.10028896089577893,0.654
gender,male,2008,0.5050270280708342,0.4678853726964142,0.4297711741332684,131049863,0.03714165537441999,0.615
gender,female,2008,0.561853136901321,0.4236522491995066,0.5702288258667316,131049863,0.13820088770181438,0.657
gender,male,2012,0.4865327225265968,0.4698941767208529,0.4789975013545642,129254383,0.01663854580574392,0.597
gender,female,2012,0.5493979793579565,0.43060745309649434,0.5210024986454359,129254383,0.11879052626146219,0.637
gender,male,2016,0.4547894113667117,0.4690155615696888,0.46284498568288635,136670626,-0.014226150202977128,0.593
gender,female,2016,0.5209750799475149,0.41913309815921157,0.5247587228703904,136670626,0.10184198178830334,0.633
age,17 - 29,2004.0,0.42901738515724214,0.41232037735612986,0.12363352581663604,122217180,0.016697007801112274,0.49
age,30 - 44,2004.0,0.5816224389506314,0.3732184168745747,0.2557570966938556,122217180,0.20840402207605668,0.624
age,45 - 59,2004.0,0.42060778408654953,0.5793922159134505,0.32256757153928367,122217180,-0.15878443182690094,0.7
age,60 +,2004.0,0.4451428067243464,0.5548571932756536,0.2980418059502245,122217180,-0.10971438655130722,0.7140000000000001
age,17 - 29,2008.0,0.6713938169996372,0.3257193700657006,0.14118794548451033,131049863,0.34567444693393656,0.511
age,30 - 44,2008.0,0.6291554779409589,0.35068300516357237,0.2680007073757794,131049863,0.27847247277738657,0.618
age,45 - 59,2008.0,0.5622511534716251,0.42344773250905177,0.2509934716348753,131049863,0.13880342096257337,0.685
age,60 +,2008.0,0.504923176407237,0.4652640042962088,0.33981787550483494,131049863,0.03965917211102826,0.708
age,17 - 29,2012.0,0.6256926706255593,0.33835604889700716,0.13941281803243036,129254383,0.2873366217285522,0.45
age,30 - 44,2012.0,0.5713768028863034,0.36801572247638065,0.264247185216408,129254383,0.2033610804099228,0.595
age,45 - 59,2012.0,0.5124985663345673,0.44760477185174385,0.2959198953080596,129254383,0.0648937944828234,0.669
age,60 +,2012.0,0.5261401603094232,0.4436221676762818,0.300420101443102,129254383,0.08251799263314141,0.718
age,17 - 29,2016.0,0.5483255579593341,0.35148367171460154,0.17332031034454293,136670626,0.1968418862447326,0.461
