state,year,dem_num,state_num,vap,rep_num,state_electoral_votes
AK,2004,111025,312598,550189,190889,3
AK,2008,123594,326197,550189,193841,3
AK,2012,122640,300495,550189,164676,3
AK,2016,116454,318608,550189,163387,3
AL,2004,693933,1883415,3430120,1176394,9
AL,2008,813479,2099819,3430120,1266546,9
AL,2012,795696,2074338,3699846,1255925,9
AL,2016,729547,2123372,3771201,1318255,9
AR,2004,469953,1054945,2067620,572898,6
AR,2008,422310,1086617,2067620,638017,6
AR,2012,394409,1069468,2239501,647744,6
AR,2016,380494,1130635,2285967,684872,6
AZ,2004,893524,2012753,4087540,1104462,10
AZ,2008,1034707,2293475,4087540,1230111,10
AZ,2012,1025232,2306559,4939258,1233654,11
AZ,2016,1161167,2554240,5302793,1252401,11
CA,2004,6745485,12419372,21942935,5509826,55
CA,2008,8274473,13561900,21942935,5011781,55
CA,2012,7854285,13055815,28854869,4839958,55
CA,2016,8753788,14236960,30401787,4483810,55
CO,2004,1001469,2129702,3363945,1100901,9
CO,2008,1288336,2400762,3363945,1073245,9
CO,2012,1322811,2571196,3957271,1184899,9
CO,2016,1338633,2779568,4292250,1202140,9
CT,2004,857488,1578769,2460485,693826,7
CT,2008,997772,1646792,2460485,629428,7
CT,2012,905109,1558075,2798474,634899,7
CT,2016,895752,1634650,2833744,673215,7
DC,2004,202970,227586,430110,21256,3
DC,2008,245800,265853,430110,17367,3
DC,2012,267070,293764,527625,21381,3
DC,2016,282830,311511,563805,12723,3
DE,2004,200152,375130,623675,171660,3
DE,2008,255459,412412,623675,152374,3
DE,2012,242584,413921,712628,165484,3
DE,2016,235603,441590,750941,185127,3
FL,2004,3583524,7609790,12534070,3964522,27
FL,2008,4282074,8390744,12534070,4045624,27
FL,2012,4237756,8492175,15338014,4163447,29
FL,2016,4504975,9420039,16491600,4617886,29
GA,2004,1366155,3301880,6475880,1914256,15
GA,2008,1844123,3924472,6475880,2048759,15
GA,2012,1773827,3908369,7430733,2078688,16
GA,2016,1877963,4092373,7819944,2089104,16
HI,2004,231335,428552,907445,194116,4
HI,2008,325201,452742,907445,120429,4
HI,2012,306266,434221,1085785,120937,4
HI,2016,266891,428937,1130491,128847,4
IA,2004,741888,1506898,2206650,751957,7
IA,2008,828940,1536820,2206650,682379,7
IA,2012,822544,1582180,2352043,730617,6
IA,2016,653669,1566031,2408488,800983,6
ID,2004,181098,598376,1036200,409235,4
ID,2008,236440,655032,1036200,403012,4
ID,2012,212787,656742,1168434,420911,4
ID,2016,189765,690433,1240700,409055,4
IL,2004,2891550,5274322,8733400,2345946,21
IL,2008,3419348,5522371,8733400,2031179,21
IL,2012,3019512,5251432,9817589,2135216,20
IL,2016,3090729,5571945,9911457,2146015,20
IN,2004,969011,2468002,4607975,1479438,11
IN,2008,1345781,2704125,4525410,1327730,11
IN,2012,1154275,2633143,4948901,1422872,11
IN,2016,1039126,2740611,5065351,1557286,11
KS,2004,434993,1187756,1983035,736456,6
KS,2008,514765,1235808,1983035,699655,6
KS,2012,439908,1157532,2159708,689809,6
KS,2016,414788,1147143,2203485,656009,6
KY,2004,712733,1795854,3174265,1069439,8
KY,2008,751985,1826508,3174265,1048462,8
KY,2012,679370,1798048,3365268,1087190,8
KY,2016,628834,1923346,3428251,1202942,8
LA,2004,810343,1913268,3201710,1082572,9
LA,2008,782989,1960761,3229250,1148275,9
LA,2012,809141,1994065,3489058,1152262,8
LA,2016,780154,2029032,3577800,1178638,8
MA,2004,1803800,2912388,4621470,1071109,12
MA,2008,1904097,3080985,4621470,1108854,12
MA,2012,1921290,3184196,5255663,1188314,11
MA,2016,1995196,3325046,5451588,1090893,11
MD,2004,1334493,2386678,3933015,1024703,10
MD,2008,1629467,2631593,3933015,959862,10
MD,2012,1677844,2707327,4543192,971869,10
MD,2016,1677926,2780914,4691033,943169,10
ME,2004,396842,740742,1019500,330191,4
ME,2008,421823,731063,1019500,295273,4
ME,2012,399235,721691,1063558,291418,4
ME,2016,354718,743941,1074781,334945,4
MI,2004,2479183,4839252,7327800,2313746,17
MI,2008,2872579,5001766,7327800,2048639,17
MI,2012,2564569,4745316,7616942,2115256,16
MI,2016,2268839,4799284,7741312,2279543,16
MN,2004,1445014,2828387,3761615,1346695,10
MN,2008,1573354,2910370,3761615,1275409,10
MN,2012,1546167,2936561,4102871,1320225,10
MN,2016,1367716,2944813,4236052,1322951,10
MO,2004,1259171,2731364,4369990,1455713,11
MO,2008,1441947,2924975,4369990,1445814,11
MO,2012,1223796,2763689,4620538,1482440,10
MO,2016,1071068,2808602,4714848,1594511,10
MS,2004,458094,1152142,2125370,684981,6
MS,2008,554662,1289865,2125370,724597,6
MS,2012,562949,1285584,2243819,710746,6
MS,2016,485131,1211088,2268781,700714,6
MT,2004,173710,450434,728995,266063,3
MT,2008,230060,485542,727665,239941,3
MT,2012,201839,484484,782304,267928,3
MT,2016,177709,494525,815203,279240,3
NC,2004,1525849,3501006,6458590,1961165,15
NC,2008,2142651,4310789,6458590,2128474,15
NC,2012,2178391,4505372,7465354,2270395,15
NC,2016,2189322,4741561,7852733,2362632,15
ND,2004,111052,312874,488835,196651,3
ND,2008,141278,316581,488835,168561,3
ND,2012,124827,322627,545027,188163,3
ND,2016,93758,344360,595376,216794,3
NE,2004,254304,777920,1268455,512574,5
NE,2008,333280,801018,1268455,452762,5
NE,2012,302081,794379,1393045,475064,5
NE,2016,284527,828396,1436389,496142,5
