state,year,state_num,dem_num,rep_num,vap,state_electoral_votes
AK,2004,324078,115490.0,197521.0,747494,3
AK,2008,331335,126068.0,196377.0,747494,3
AK,2012,308459,125721.0,169220.0,761679,3
AK,2016,325748,120605.0,165574.0,762934,3
AK,2020,349411,150155.0,185807.0,528248,3
AL,2004,1883415,693933.0,1176394.0,3430120,9
AL,2008,2099819,813479.0,1266546.0,3430120,9
AL,2012,2070353,795696.0,1255925.0,3600120,9
AL,2016,2123367,729547.0,1318250.0,3671115,9
AL,2020,2309900,843473.0,1434159.0,3671115,9
AR,2004,1053694,468631.0,572770.0,2067620,6
AR,2008,1086617,422310.0,638017.0,2067620,6
AR,2012,1069468,394409.0,647744.0,2152350,6
AR,2016,1129896,380494.0,684872.0,2195865,6
AR,2020,1212124,419916.0,757917.0,2195865,6
AZ,2004,2012585,893524.0,1104294.0,4087540,10
AZ,2008,2293475,1034707.0,1230111.0,4087540,10
AZ,2012,2299254,1025232.0,1233654.0,4444230,11
AZ,2016,2628756,1161167.0,1252401.0,4812760,11
AZ,2020,3385845,1672143.0,1661686.0,4812760,11
CA,2004,12383678,6737355.0,5501496.0,21942935,55
CA,2008,13561900,8274473.0,5011781.0,21942935,55
CA,2012,13038547,7854285.0,4839958.0,23881285,55
CA,2016,14181595,8753788.0,4483810.0,25232630,55
CA,2020,16909159,10786144.0,5760221.0,25232630,55
CO,2004,2129028,1001496.0,1100900.0,3363945,9
CO,2008,2400762,1288336.0,1073245.0,3363945,9
CO,2012,2569217,1322998.0,1185050.0,3679115,9
CO,2016,2779714,1338605.0,1202269.0,3978835,9
CO,2020,3019124,1696244.0,1240726.0,3744425,9
CT,2004,1578769,857488.0,693826.0,2460485,7
CT,2008,1647085,1000291.0,628041.0,2460485,7
CT,2012,1533545,891674.0,624210.0,2564230,7
CT,2016,1644920,897572.0,673215.0,2600980,7
CT,2020,1823932,1080387.0,714973.0,2600980,7
DC,2004,227586,202970.0,21256.0,430110,3
DC,2008,265853,245800.0,17367.0,430110,3
DC,2012,293764,267070.0,21381.0,475400,3
DC,2016,311268,282830.0,12723.0,511190,3
DC,2020,333682,307265.0,18172.0,511190,3
DE,2004,375170,200141.0,171651.0,623675,3
DE,2008,412412,255459.0,152374.0,623675,3
DE,2012,413937,242584.0,165484.0,674335,3
DE,2016,442997,235603.0,185127.0,704105,3
DE,2020,504010,296268.0,200603.0,704105,3
FL,2004,7609810,3583544.0,3964522.0,12534070,27
FL,2008,8391639,4282366.0,4046212.0,12534070,27
FL,2012,8474179,4237756.0,4163447.0,13673530,29
FL,2016,9420039,4504975.0,4617886.0,14724115,29
FL,2020,11067083,5296972.0,5668640.0,14724115,29
GA,2004,3298790,1366149.0,1914254.0,6475880,15
GA,2008,3925278,1844137.0,2048744.0,6475880,15
GA,2012,3900050,1773827.0,2078688.0,6882855,16
GA,2016,4114711,1877963.0,2089104.0,7254710,16
GA,2020,4992772,2472230.0,2458025.0,7254710,16
HI,2004,428555,231335.0,194116.0,907445,4
HI,2008,452742,325201.0,120429.0,907445,4
HI,2012,434221,306266.0,120937.0,989180,4
HI,2016,428937,266891.0,128847.0,1016485,4
HI,2020,574341,366070.0,196800.0,1016485,4
IA,2004,1506908,741898.0,751957.0,2206650,7
IA,2008,1536820,828940.0,682379.0,2206650,7
IA,2012,1582180,822544.0,730617.0,2273775,6
IA,2016,1566031,653669.0,800983.0,2312630,6
IA,2020,1688233,758839.0,897415.0,2312630,6
ID,2004,598376,181098.0,409235.0,1036200,4
ID,2008,655032,236440.0,403012.0,1036200,4
ID,2012,652274,212787.0,420911.0,1116700,4
ID,2016,690433,189765.0,409055.0,1192740,4
ID,2020,867371,286882.0,553621.0,1192085,4
IL,2004,5275415,2891989.0,2346608.0,8733400,21
IL,2008,5523051,3419673.0,2031527.0,8733400,21
IL,2012,5241891,3019512.0,2135102.0,8939910,20
IL,2016,5558707,3090729.0,2146015.0,9055150,20
IL,2020,5939321,3403152.0,2418695.0,9051850,20
IN,2004,2468002,969011.0,1479438.0,4607975,11
IN,2008,2751054,1374039.0,1345648.0,4607975,11
IN,2012,2624534,1152887.0,1420543.0,4773195,11
IN,2016,2734958,1033126.0,1557286.0,4876215,11
IN,2020,3034891,1241588.0,1729291.0,4876215,11
KS,2004,1187756,434993.0,736456.0,1983035,6
KS,2008,1235872,514765.0,699655.0,1983035,6
KS,2012,1156254,439908.0,689809.0,2043800,6
KS,2016,1184403,427005.0,671018.0,2077570,6
KS,2020,1334330,551199.0,753370.0,2077570,6
KY,2004,1795860,712733.0,1069439.0,3174265,8
KY,2008,1826508,751985.0,1048462.0,3174265,8
KY,2012,1797212,679370.0,1087190.0,3281575,8
KY,2016,1924149,628854.0,1202971.0,3338185,8
KY,2020,2135193,772223.0,1326347.0,3338185,8
LA,2004,1913268,810343.0,1082572.0,3201710,9
LA,2008,1959085,781574.0,1148015.0,3229250,9
LA,2012,1994065,809141.0,1152262.0,3385550,8
LA,2016,2029032,780154.0,1178638.0,3452750,8
LA,2020,2148062,856034.0,1255776.0,3452750,8
MA,2004,2912388,1803800.0,1071109.0,4621470,12
MA,2008,3081336,1904103.0,1108885.0,4621470,12
MA,2012,3167767,1921290.0,1188314.0,4799870,11
MA,2016,3274555,1995196.0,1090893.0,4964685,11
MA,2020,3500056,2283225.0,1137083.0,4964685,11
MD,2004,2386678,1334493.0,1024703.0,3933015,10
MD,2008,2631596,1629467.0,959862.0,3933015,10
MD,2012,2707327,1677844.0,971869.0,4142465,10
MD,2016,2781446,1677928.0,943169.0,4262390,10
MD,2020,2917146,1905407.0,958549.0,4262390,10
ME,2004,686510,364153.0,308997.0,1019500,4
ME,2008,731163,421923.0,295273.0,1019500,4
ME,2012,710126,399235.0,291418.0,1044330,4
ME,2016,743941,354718.0,334945.0,1059545,4
ME,2020,786337,420357.0,341949.0,1059545,4
MI,2004,4839252,2479183.0,2313746.0,7327800,17
MI,2008,5001766,2872579.0,2048639.0,7327800,17
MI,2012,4730961,2564569.0,2115256.0,7347660,16
MI,2016,4799284,2268839.0,2279543.0,7472660,16
MI,2020,5533254,2795988.0,2648577.0,7472660,16
MN,2004,2827850,1444751.0,1346451.0,3761615,10
MN,2008,2910369,1573354.0,1275409.0,3761615,10
MN,2012,2936561,1546167.0,1320225.0,3920505,10
MN,2016,2944813,1367716.0,1322951.0,4037275,10
MN,2020,3268372,1716312.0,1483750.0,4037275,10
MO,2004,2589941,1154546.0,1419652.0,4369990,11
MO,2008,2771986,1321809.0,1413960.0,4369990,11
MO,2012,2620510,1118126.0,1452931.0,4503005,10
MO,2016,2678780,973333.0,1569857.0,4585990,10
MO,2020,3010316,1242851.0,1711848.0,4585990,10
MS,2004,1114859,440034.0,666295.0,2125370,6
MS,2008,1285259,554662.0,724497.0,2125370,6
MS,2012,1285584,562949.0,710746.0,2201510,6
MS,2016,1209357,485131.0,700714.0,2228665,6
MS,2020,1260790,503030.0,739132.0,2228665,6
MT,2004,450434,173710.0,266063.0,728995,3
MT,2008,494668,231948.0,243058.0,727695,3
MT,2012,483932,201839.0,267928.0,774020,3
MT,2016,497147,177709.0,279240.0,804260,3
MT,2020,605387,244744.0,343292.0,803915,3
NC,2004,3501007,1525849.0,1961166.0,6458590,15
NC,2008,4310789,2142651.0,2128474.0,6458590,15
NC,2012,4505372,2178391.0,2270395.0,7015220,15
NC,2016,4741564,2189316.0,2362631.0,7413170,15
NC,2020,5522618,2683787.0,2757112.0,7413170,15
ND,2004,312833,111052.0,196651.0,488835,3
ND,2008,316621,141278.0,168601.0,488835,3
ND,2012,322932,124966.0,188320.0,535565,3
ND,2016,344360,93758.0,216794.0,562650,3
ND,2020,361808,114901.0,235585.0,562650,3
NE,2004,777920,254304.0,512574.0,1268455,5
NE,2008,801018,333280.0,452762.0,1268455,5
NE,2012,794379,302081.0,475064.0,1324485,5
NE,2016,844187,284494.0,495961.0,1358805,5
NE,2020,946256,371918.0,553781.0,1358805,5
NH,2004,677662,340511.0,331237.0,986400,4
NH,2008,710970,384826.0,316534.0,986400,4
NH,2012,710931,369561.0,329918.0,1013645,4
NH,2016,744296,348526.0,345790.0,1048205,4
NH,2020,804453,424937.0,365660.0,1048205,4
NJ,2004,3609691,1911430.0,1668003.0,5812480,15
NJ,2008,3838498,2215422.0,1613207.0,5812480,15
NJ,2012,3640292,2125101.0,1477568.0,6002830,14
NJ,2016,3874046,2148278.0,1601933.0,6117610,14
NJ,2020,4257003,2426827.0,1763544.0,6117610,14
NM,2004,755660,370683.0,376550.0,1348255,5
NM,2008,829532,472162.0,346474.0,1348255,5
NM,2012,783157,415075.0,335461.0,1447495,5
NM,2016,797792,385078.0,319356.0,1485105,5
NM,2020,923219,501278.0,401495.0,1485105,5
NV,2004,829587,397190.0,418690.0,1625600,5
NV,2008,967848,533736.0,412827.0,1625600,5
NV,2012,1014918,531373.0,463567.0,1830225,6
NV,2016,1125385,539260.0,512058.0,1973640,6
NV,2020,1405376,703486.0,669890.0,1973640,6
NY,2004,7391036,4180755.0,2806993.0,13106005,31
NY,2008,7591233,4769700.0,2742298.0,13106005,31
