geoid,geoname,year,cvap_est
05000US45001,"Abbeville County, South Carolina",2004,19270.0
05000US22001,"Acadia Parish, Louisiana",2004,42939.0
05000US51001,"Accomack County, Virginia",2004,26918.0
05000US16001,"Ada County, Idaho",2004,237421.0
05000US19001,"Adair County, Iowa",2004,6145.0
05000US21001,"Adair County, Kentucky",2004,13590.0
05000US29001,"Adair County, Missouri",2004,20095.0
05000US40001,"Adair County, Oklahoma",2004,15367.0
05000US08001,"Adams County, Colorado",2004,237733.0
05000US16003,"Adams County, Idaho",2004,2863.0
05000US17001,"Adams County, Illinois",2004,51274.0
05000US18001,"Adams County, Indiana",2004,23243.0
05000US19003,"Adams County, Iowa",2004,3419.0
05000US28001,"Adams County, Mississippi",2004,25211.0
05000US31001,"Adams County, Nebraska",2004,23307.0
05000US38001,"Adams County, North Dakota",2004,1963.0
05000US39001,"Adams County, Ohio",2004,21335.0
05000US42001,"Adams County, Pennsylvania",2004,74116.0
05000US53001,"Adams County, Washington",2004,8684.0
05000US55001,"Adams County, Wisconsin",2004,17025.0
05000US50001,"Addison County, Vermont",2004,27533.0
05000US72001,"Adjuntas Municipio, Puerto Rico",2004,14097.0
05000US72003,"Aguada Municipio, Puerto Rico",2004,33160.0
05000US72005,"Aguadilla Municipio, Puerto Rico",2004,50325.0
05000US72007,"Aguas Buenas Municipio, Puerto Rico",2004,22659.0
05000US72009,"Aibonito Municipio, Puerto Rico",2004,20329.0
05000US45003,"Aiken County, South Carolina",2004,112437.0
05000US27001,"Aitkin County, Minnesota",2004,13184.0
05000US12001,"Alachua County, Florida",2004,177791.0
05000US37001,"Alamance County, North Carolina",2004,98722.0
05000US06001,"Alameda County, California",2004,869835.0
05000US08003,"Alamosa County, Colorado",2004,10629.0
05000US36001,"Albany County, New York",2004,226231.0
05000US56001,"Albany County, Wyoming",2004,26794.0
05000US51003,"Albemarle County, Virginia",2004,66013.0
05000US26001,"Alcona County, Michigan",2004,9623.0
05000US28003,"Alcorn County, Mississippi",2004,26965.0
05000US02013,"Aleutians East Borough, Alaska",2004,682.0
05000US02016,"Aleutians West Census Area, Alaska",2004,3277.0
05000US17003,"Alexander County, Illinois",2004,7084.0
05000US37003,"Alexander County, North Carolina",2004,26893.0
05000US51510,"Alexandria city, Virginia",2004,88662.0
05000US40003,"Alfalfa County, Oklahoma",2004,4543.0
05000US26003,"Alger County, Michigan",2004,7902.0
05000US19005,"Allamakee County, Iowa",2004,10486.0
05000US26005,"Allegan County, Michigan",2004,77616.0
