id,state,votes_2008,votes_2012
22,Alabama,9,9
49,Alaska,3,3
48,Arizona,10,11
25,Arkansas,6,6
31,California,55,55
38,Colorado,9,9
5,Connecticut,7,7
-,District of Columbia,3,3
1,Delaware,3,3
27,Florida,27,29
4,Georgia,15,16
50,Hawaii,4,4
43,Idaho,4,4
21,Illinois,21,20
19,Indiana,11,11
29,Iowa,7,6
34,Kansas,6,6
15,Kentucky,8,8
18,Louisiana,9,8
23,Maine,4,4
7,Maryland,10,10
6,Massachusetts,12,11
26,Michigan,17,16
32,Minnesota,10,10
20,Mississippi,6,6
24,Missouri,11,10
41,Montana,3,3
37,Nebraska,5,5
36,Nevada,5,6
9,New Hampshire,4,4
3,New Jersey,15,14
47,New Mexico,5,5
11,New York,31,29
12,North Carolina,15,15
39,North Dakota,3,3
17,Ohio,20,18
46,Oklahoma,7,7
33,Oregon,7,7
2,Pennsylvania,21,20
13,Rhode Island,4,4
8,South Carolina,8,9
40,South Dakota,3,3
16,Tennessee,11,11
28,Texas,34,38
45,Utah,5,6
14,Vermont,3,3
10,Virginia,13,13
42,Washington,11,12
35,West Virginia,5,5
30,Wisconsin,10,10
44,Wyoming,3,3

